no,raw,smooth
0,267.73236,238.33755
1,457.11935,235.07147
2,178.65309,210.39949
3,465.45898,213.92686
4,128.48145,185.97885
5,293.38828,192.36746
6,124.51807,181.14294
7,34.713,187.4346
8,139.71034,204.40367
9,56.00074,211.59183
10,437.9524,228.87975
11,100.98559,205.64946
12,103.92239,217.2788
13,85.42189,229.87395
14,123.29629,245.92418
15,452.5328,259.5495
16,73.4865,238.1069
17,120.36273,256.39807
18,478.92645,271.51312
19,51.377594,248.46721
20,367.78104,270.36606
21,462.1376,259.54218
22,367.9717,237.03156
23,36.27333,222.48265
24,211.12793,243.17258
25,487.0099,246.7331
26,144.96663,220.03568
27,274.11514,228.3767
28,144.45409,223.29465
29,69.114655,232.05472
30,380.62012,250.15918
31,34.96349,235.66353
32,471.24063,257.96353
33,195.50711,234.26608
34,27.85501,238.57265
35,98.94651,261.98572
36,228.71361,280.1012
37,337.89844,285.81094
38,213.26181,280.02344
39,478.83734,287.4414
40,48.41706,266.1752
41,389.68494,290.37057
42,388.3433,279.33563
43,228.12071,267.2237
44,235.99368,271.56848
45,477.35846,275.52124
46,345.83295,253.0949
47,229.8821,242.79066
48,462.57614,244.22496
49,31.155407,219.96373
50,176.56314,240.94244
51,241.80305,248.0957
52,303.7467,248.7949
53,118.143974,242.68916
54,182.63773,256.52753
55,332.81866,264.73752
56,475.31998,257.17294
57,442.58383,232.93439
58,261.01675,209.64001
59,49.392937,203.9315
60,416.70514,221.10245
61,242.4851,199.36882
62,258.22803,194.57814
63,16.658247,187.50594
64,335.44955,206.48903
65,220.43568,192.1601
66,69.135666,189.01837
67,120.53007,202.33868
68,103.59225,211.42853
69,451.99765,223.41034
70,100.082756,198.01175
71,50.982594,208.89276
72,445.1773,226.43834
73,0.764668,202.13402
74,46.008766,224.5084
75,269.51645,244.3417
76,61.90744,241.54451
77,218.43463,261.50418
78,391.26013,266.28967
79,311.9738,252.40407
80,152.34354,245.78522
81,427.3307,256.16763
82,150.86847,237.14954
83,253.69788,246.73631
84,310.868,245.96281
85,26.488453,238.75113
86,131.37213,262.33588
87,360.97388,276.88742
88,472.08768,267.5445
89,458.9349,244.81749
90,33.288063,221.02667
91,480.0404,241.88652
92,250.42245,215.42497
93,253.78137,211.53636
94,408.78052,206.84247
95,82.98349,184.4049
96,123.94658,195.67395
97,362.3302,203.64366
98,62.78032,186.01183
99,194.70316,199.70422
100,16.455978,200.2599
101,241.094,220.68257
102,170.84056,218.41463
103,474.01242,223.70064
104,337.24408,195.88821
105,368.4152,180.182
106,26.60215,159.26721
107,157.85065,174.00778
108,268.8926,175.80302
109,285.6648,165.45973
110,12.318045,152.1036
111,4.5735836,167.63533
112,428.90817,185.75331
113,22.64002,158.7361
114,61.0573,173.85788
115,480.26422,186.39128
116,30.353725,153.73872
117,242.05515,167.44818
118,494.7824,159.15851
119,121.866974,121.866974
