no,raw,smooth
0,69.00125,147.34921
1,76.716255,156.05453
2,84.74172,164.8699
3,93.05532,173.77304
4,101.63626,182.74168
5,110.46308,191.7534
6,119.51094,200.78566
7,128.76273,209.8162
8,138.1926,218.82214
9,147.77695,227.78099
10,157.49188,236.67033
11,167.31004,245.46794
12,177.2129,254.15216
13,187.17274,262.701
14,197.16463,271.09302
15,207.16362,279.30728
16,217.14165,287.32324
17,227.07988,295.1212
18,236.95042,302.68137
19,246.72859,309.98483
20,256.38995,317.0133
21,265.90747,323.74924
22,275.26318,330.1761
23,284.43073,336.27753
24,293.3872,342.03827
25,302.11023,347.44397
26,310.5755,352.48105
27,318.76694,357.1372
28,326.6615,361.40057
29,334.23944,365.2605
30,341.4818,368.70728
31,348.36847,371.73233
32,354.88638,374.3283
33,361.0171,376.48853
34,366.74533,378.20758
35,372.0567,379.48117
36,376.93658,380.30612
37,381.37573,380.6805
38,385.36145,380.60327
39,388.8838,380.07462
40,391.934,379.09583
41,394.50366,377.66937
42,396.588,375.7989
43,398.1809,373.48898
44,399.27838,370.74545
45,399.87772,367.57513
46,399.97745,363.98596
47,399.5774,359.9869
48,398.6784,355.58798
49,397.2828,350.80017
50,395.39404,345.63544
51,393.0176,340.10672
52,390.15802,334.22775
53,386.8231,328.01328
54,383.02112,321.47885
55,378.76166,314.6408
56,374.05685,307.5163
57,368.91553,300.12292
58,363.352,292.4793
59,357.3801,284.60458
60,351.01477,276.51843
61,344.2741,268.24106
62,337.17072,259.79297
63,329.7245,251.19547
64,321.95395,242.47003
65,313.87854,233.6385
66,305.52106,224.72296
67,296.8973,215.74539
68,288.0313,206.72852
69,278.94525,197.69487
70,269.66187,188.66705
71,260.20724,179.66763
72,250.59926,170.7188
73,240.86479,161.8432
74,231.02815,153.06303
75,221.11397,144.40025
76,211.15004,135.87651
77,201.15521,127.512794
78,191.15749,119.33031
79,181.18187,111.34951
80,171.2533,103.59036
81,161.39957,96.072266
82,151.63933,88.813675
83,141.99997,81.833046
84,132.5056,75.147835
85,123.179955,68.77475
86,114.0491,62.729725
87,105.13029,57.027573
88,96.44862,51.68283
89,88.02581,46.708855
90,79.88292,42.11808
91,72.04263,37.921986
92,64.519775,34.130802
93,57.335587,30.754251
94,50.50804,27.80077
95,44.05417,25.27774
96,37.991943,23.191471
97,32.332764,21.546974
98,27.092743,20.348555
99,22.284943,19.599201
100,17.921387,19.300785
101,14.014114,19.454052
102,10.570496,20.05849
103,7.6004333,21.112715
